Date,Campaign Name,Ad Set Name,Device,Impressions,Clicks,CPC ($),Conversions,Cost per Conversion ($)
2024-01-01,Campaign B,Ad Set 3,Mobile,12607,2075,0.774726104969975,202,35.5566682444214
2024-01-02,Campaign C,Ad Set 2,Desktop,5228,1022,1.5536630059202567,109,15.21352678150161
2024-01-03,Campaign A,Ad Set 3,Desktop,18628,3392,0.3821351833230232,231,18.58808118163359
2024-01-04,Campaign C,Ad Set 1,Desktop,14141,970,0.9150460991327253,168,29.88460518437561
2024-01-05,Campaign C,Ad Set 3,Desktop,14879,3807,1.1362019204243752,97,26.698155788391183
2024-01-06,Campaign C,Ad Set 1,Desktop,18041,3787,1.8394236915628994,125,22.529926884338582
2024-01-07,Campaign C,Ad Set 3,Desktop,19563,382,1.4692905569130825,83,28.540090434860847
2024-01-08,Campaign A,Ad Set 2,Desktop,11552,722,1.9326903319713742,129,10.824957718591332
2024-01-09,Campaign B,Ad Set 3,Desktop,9610,3864,1.3676737356626714,96,7.979377057927527
2024-01-10,Campaign C,Ad Set 2,Mobile,18341,3980,1.3714987588646934,146,8.64061923010223
2024-01-11,Campaign B,Ad Set 2,Mobile,12465,484,0.5455148813577896,155,10.223615401831198
2024-01-12,Campaign A,Ad Set 3,Desktop,10584,3751,1.717311199268352,180,8.519678738933024
2024-01-13,Campaign C,Ad Set 1,Mobile,17152,3110,0.26166856280865414,292,18.822541348022632
2024-01-14,Campaign B,Ad Set 3,Desktop,18916,3799,0.7753443224449399,130,47.11689922770215
2024-01-15,Campaign A,Ad Set 1,Desktop,14912,4021,1.2972188647649854,260,12.889377936939812
2024-01-16,Campaign C,Ad Set 2,Mobile,13842,3921,1.9062132224232124,208,8.168429469631548
2024-01-17,Campaign B,Ad Set 3,Desktop,14221,1439,1.243082042631252,50,8.205314615801575
2024-01-18,Campaign B,Ad Set 1,Desktop,12706,4415,0.20437128883273314,212,17.638582153217754
2024-01-19,Campaign B,Ad Set 2,Mobile,6594,3224,0.7786405878354428,253,7.409129868729125
2024-01-20,Campaign C,Ad Set 1,Mobile,12747,709,1.599261191961062,192,36.64442675994641
2024-01-21,Campaign C,Ad Set 1,Desktop,10179,1422,1.8438545571095484,165,28.78405328672544
2024-01-22,Campaign C,Ad Set 3,Mobile,15350,4900,0.5549247376764963,215,17.581988925789837
2024-01-23,Campaign A,Ad Set 1,Mobile,13669,246,1.3350870754210031,271,46.736797610093824
2024-01-24,Campaign A,Ad Set 3,Desktop,8115,3232,1.8782232155378775,181,31.88239372754517
2024-01-25,Campaign C,Ad Set 1,Desktop,17449,4725,0.4732452818093018,13,12.737234968257823
2024-01-26,Campaign C,Ad Set 3,Desktop,14004,1825,0.22504590072483283,214,19.940440093709427
2024-01-27,Campaign B,Ad Set 2,Desktop,16984,2120,0.560331061519459,124,6.399637260676821
2024-01-28,Campaign C,Ad Set 2,Mobile,7514,1432,1.995569388712524,184,28.24546905190311
